1,Finance,0.45,decision
1,Public Utilities,0.36,zinc
1,Public Utilities,0.36,dish
1,Public Utilities,0.36,integrity
1,Public Utilities,0.57,recharge
1,Public Utilities,0.28,content
9,Public Utilities,3.26,electricity
4,Public Utilities,1.45,disposal
2,Public Utilities,0.57,environment
1,Public Utilities,0.0,program
1,Public Utilities,0.57,alberta
1,Public Utilities,0.36,suite
1,Public Utilities,0.36,pride
1,Public Utilities,0.36,presentation
1,Public Utilities,0.57,shaving
2,Public Utilities,1.15,smartphone
1,Public Utilities,0.0,innovation
1,Public Utilities,0.36,wave
1,Public Utilities,0.57,fall
2,Public Utilities,1.15,drinking
1,Public Utilities,0.57,ticker
2,Public Utilities,0.72,voip
2,Public Utilities,0.36,cable
6,Public Utilities,1.72,transmission
9,Public Utilities,0.0,solution
1,Public Utilities,0.0,team
1,Public Utilities,0.28,neighborhood
1,Public Utilities,0.57,cooperative
1,Public Utilities,0.57,paso
1,Public Utilities,0.57,pdvconnect
1,Public Utilities,0.57,aquifer
2,Public Utilities,0.36,rate
1,Public Utilities,0.57,arizona
1,Public Utilities,0.0,design
1,Public Utilities,0.0,investment
1,Public Utilities,0.28,index
8,Public Utilities,0.0,business
6,Public Utilities,0.0,cell
1,Public Utilities,0.36,marketer
1,Public Utilities,0.0,transportation
1,Public Utilities,0.36,exchange
1,Public Utilities,0.57,caiso
7,Public Utilities,0.0,water
1,Public Utilities,0.57,bromine
1,Public Utilities,0.0,protection
1,Public Utilities,0.57,slater
1,Public Utilities,0.57,change
1,Public Utilities,0.0,search
1,Public Utilities,0.57,tortoise
1,Public Utilities,0.18,experience
1,Public Utilities,0.57,trainer
1,Public Utilities,0.36,love
1,Public Utilities,0.0,family
1,Public Utilities,0.57,mobility
1,Public Utilities,0.28,partnering
1,Public Utilities,0.57,glitch
1,Public Utilities,0.36,licensing
1,Public Utilities,0.36,cloud
1,Public Utilities,0.57,menomonee
1,Public Utilities,0.57,telu
1,Public Utilities,0.28,hospital
1,Public Utilities,0.57,texting
1,Public Utilities,0.36,governance
3,Public Utilities,0.0,asset
1,Public Utilities,0.36,type
3,Public Utilities,0.0,today
14,Public Utilities,0.0,company
1,Public Utilities,0.28,emission
1,Public Utilities,0.36,award
3,Public Utilities,0.54,site
13,Public Utilities,2.35,phone
1,Public Utilities,0.57,train
1,Public Utilities,0.57,tariff
15,Public Utilities,0.0,customer
